[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,02/26/2024
ScenarioTime,3:15 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,3,9657,10170,0,,,,,,
2,3,11150,11490,0,,,,,,
3,3,12368,12338,0,,,,,,
4,0,13591,11397,0,,,,,,
5,3,10855,12224,0,,,,,,
6,1,14087,10821,0,,,,,,
7,2,10581,11059,0,,,,,,
8,1,10349,10118,0,,,,,,
Speed,12,,,,30,,,,
Time,12,,,,16.4,,,,
Grade,12,,,,0,,,,
Median,12,,,,0,,,,
Offset,12,,,,0,,,,
TWLTL,12,,,,0,,,,
Crosswalk Width,12,,,,16,,,,
Mandatory Distance,12,,,,200,,,,
Mandatory Distance2,12,,,,1320,,,,
Positioning Distance,12,,,,880,,,,
Positioning Distance2,12,,,,1760,,,,
Curve Pt X,12,,,,,,,,
Curve Pt Y,12,,,,,,,,
Curve Pt Z,12,,,,,,,,
Link Is Hidden,12,,,,false,,,,
Street Name Is Hidden,12,,,,false,,,,
Up ID,14,,4,,,,,,
Lanes,14,,1,,,,,,
Name,14,,Fullerton Avenue,,,,,,
Distance,14,,871,,,,,,
Speed,14,,30,,,,,,
Time,14,,19.8,,,,,,
Grade,14,,0,,,,,,
Median,14,,0,,,,,,
Offset,14,,0,,,,,,
TWLTL,14,,0,,,,,,
Crosswalk Width,14,,16,,,,,,
Mandatory Distance,14,,200,,,,,,
Mandatory Distance2,14,,1320,,,,,,
Positioning Distance,14,,880,,,,,,
Positioning Distance2,14,,1760,,,,,,
Curve Pt X,14,,,,,,,,
Curve Pt Y,14,,,,,,,,
Curve Pt Z,14,,,,,,,,
Link Is Hidden,14,,false,,,,,,
Street Name Is Hidden,14,,false,,,,,,
Up ID,15,,,3,,,18,,
Lanes,15,,,1,,,1,,
Name,15,,,Gidney Avenue,,,Gidney Avenue,,
Distance,15,,,181,,,471,,
Speed,15,,,30,,,30,,
Time,15,,,4.1,,,10.7,,
Grade,15,,,0,,,0,,
Median,15,,,0,,,0,,
Offset,15,,,0,,,0,,
TWLTL,15,,,0,,,0,,
Crosswalk Width,15,,,16,,,16,,
Mandatory Distance,15,,,100,,,100,,
Mandatory Distance2,15,,,1320,,,1320,,
Positioning Distance,15,,,880,,,880,,
Positioning Distance2,15,,,1760,,,1760,,
Curve Pt X,15,,,12467,,,12590,,
Curve Pt Y,15,,,12197,,,12068,,
Curve Pt Z,15,,,0,,,0,,
Link Is Hidden,15,,,false,,,false,,
Street Name Is Hidden,15,,,false,,,false,,
Up ID,18,,,15,4,,,,
Lanes,18,,,1,1,,,,
Name,18,,,Gidney Avenue,Gidney Avenue,,,,
Distance,18,,,471,940,,,,
Speed,18,,,30,30,,,,
Time,18,,,10.7,21.4,,,,
Grade,18,,,0,0,,,,
Median,18,,,0,0,,,,
Offset,18,,,0,0,,,,
TWLTL,18,,,0,0,,,,
Crosswalk Width,18,,,16,16,,,,
Mandatory Distance,18,,,100,100,,,,
Mandatory Distance2,18,,,1320,1320,,,,
Positioning Distance,18,,,880,880,,,,
Positioning Distance2,18,,,1760,1760,,,,
Curve Pt X,18,,,12710,13204,,,,
Curve Pt Y,18,,,12002,11822,,,,
Curve Pt Z,18,,,0,0,,,,
Link Is Hidden,18,,,false,false,,,,
Street Name Is Hidden,18,,,false,false,,,,
Up ID,19,4,,,,,,,
Lanes,19,1,,,,,,,
Name,19,Fullerton Avenue,,,,,,,
Distance,19,410,,,,,,,
Speed,19,30,,,,,,,
Time,19,9.3,,,,,,,
Grade,19,0,,,,,,,
Median,19,0,,,,,,,
Offset,19,0,,,,,,,
TWLTL,19,0,,,,,,,
Crosswalk Width,19,16,,,,,,,
Mandatory Distance,19,200,,,,,,,
Mandatory Distance2,19,1320,,,,,,,
Positioning Distance,19,880,,,,,,,
Positioning Distance2,19,1760,,,,,,,
Curve Pt X,19,,,,,,,,
Curve Pt Y,19,,,,,,,,
Curve Pt Z,19,,,,,,,,
Link Is Hidden,19,false,,,,,,,
Street Name Is Hidden,19,false,,,,,,,

[Lanes]
Lane Group Data
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
Up Node,1,,,,7,,7,12,12,,,8,8,,
Dest Node,1,,,,8,,12,7,8,,,12,7,,
Lanes,1,,,,1,,0,0,1,,,1,0,,
Shared,1,,,,2,,,0,1,,,2,,,
Width,1,,,,10,,12,12,13,,,11,12,,
Storage,1,,,,,,,,,,,,,,
Taper,1,,,,,,,,,,,,,,
StLanes,1,,,,,,,,,,,,,,
Grade,1,,,,,,,,,,,,,,
Speed,1,,,,30,,,,30,,,30,,,
SignControl,1,,,,1,,,,0,,,0,,,
IdealFlow,1,,,,1900,,1900,1900,1900,,,1900,1900,,
SatFlow,1,,,,1427,,0,0,1798,,,1703,0,,
SatFlowPerm,1,,,,1427,,0,0,1798,,,1703,0,,
Allow RTOR,1,,,,1,,1,1,1,,,1,1,,
SatFlowRTOR,1,,,,95,,0,0,0,,,13,0,,
Volume,1,,,,20,,88,86,288,,,305,30,,
Peds,1,,,,0,,0,0,0,,,0,0,,
Bicycles,1,,,,0,,0,0,0,,,0,0,,
PHF,1,,,,0.93,,0.93,0.93,0.93,,,0.93,0.93,,
Growth,1,,,,100,,100,100,100,,,100,100,,
HeavyVehicles,1,,,,21,,11,11,5,,,8,10,,
BusStops,1,,,,0,,0,0,0,,,0,0,,
Midblock,1,,,,0,,,,0,,,0,,,
Distance,1,,,,1453,,,,722,,,694,,,
TravelTime,1,,,,33.0,,,,16.4,,,15.8,,,
Right Channeled,1,,,,,,0,,0,,,,0,,
Alignment,1,,,,0,,1,0,0,,,0,1,,
Enter Blocked,1,,,,0,,0,0,0,,,0,0,,
HeadwayFact,1,,,,1.05,,0.96,1.02,0.98,,,1.02,0.98,,
Turning Speed,1,,,,15,,9,15,60,,,60,9,,
FirstDetect,1,,,,20,,,20,100,,,100,,,
LastDetect,1,,,,0,,,0,0,,,0,,,
Exit Lanes,1,,,,0,,,,0,,,0,,,
CBD,1,,,,,,,,0,,,,,,
Lane Group Flow,1,,,,117,,0,0,402,,,360,0,,
Up Node,2,,,,5,,5,7,7,,,3,3,,
Dest Node,2,,,,3,,7,5,3,,,7,5,,
Lanes,2,,,,1,,0,0,1,,,1,0,,
Shared,2,,,,2,,,0,1,,,2,,,
Width,2,,,,12,,12,12,11,,,14,12,,
Storage,2,,,,,,,,,,,,,,
Taper,2,,,,,,,,,,,,,,
StLanes,2,,,,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,
Speed,2,,,,30,,,,30,,,30,,,
SignControl,2,,,,1,,,,0,,,0,,,
IdealFlow,2,,,,1900,,1900,1900,1900,,,1900,1900,,
SatFlow,2,,,,1518,,0,0,1707,,,1788,0,,
SatFlowPerm,2,,,,1518,,0,0,1707,,,1788,0,,
Allow RTOR,2,,,,1,,1,1,1,,,1,1,,
SatFlowRTOR,2,,,,10,,0,0,0,,,10,0,,
Volume,2,,,,6,,9,18,109,,,104,9,,
Peds,2,,,,1,,1,1,0,,,0,1,,
Bicycles,2,,,,0,,0,0,0,,,0,0,,
PHF,2,,,,0.90,,0.90,0.90,0.90,,,0.90,0.90,,
Growth,2,,,,100,,100,100,100,,,100,100,,
HeavyVehicles,2,,,,0,,22,0,8,,,10,22,,
BusStops,2,,,,0,,0,0,0,,,0,0,,
Midblock,2,,,,0,,,,0,,,0,,,
Distance,2,,,,801,,,,714,,,1484,,,
TravelTime,2,,,,18.2,,,,16.2,,,33.7,,,
Right Channeled,2,,,,,,0,,0,,,,0,,
Alignment,2,,,,0,,1,0,0,,,0,1,,
Enter Blocked,2,,,,0,,0,0,0,,,0,0,,
HeadwayFact,2,,,,1.00,,1.00,1.00,1.04,,,0.93,1.01,,
Turning Speed,2,,,,15,,9,15,60,,,60,9,,
FirstDetect,2,,,,20,,,20,100,,,100,,,
LastDetect,2,,,,0,,,0,0,,,0,,,
Exit Lanes,2,,,,0,,,,0,,,0,,,
CBD,2,,,,,,,,0,,,,,,
Lane Group Flow,2,,,,17,,0,0,141,,,126,0,,
Up Node,3,15,15,,,10,10,2,,2,,,,,
Dest Node,3,2,10,,,15,2,10,,15,,,,,
Lanes,3,0,1,,,1,0,1,,0,,,,,
Shared,3,0,1,,,2,,2,,,,,,,
Width,3,12,16,,,16,12,13,,12,,,,,
Storage,3,,,,,,,,,,,,,,
Taper,3,,,,,,,,,,,,,,
StLanes,3,,,,,,,,,,,,,,
Grade,3,,,,,,,,,,,,,,
Speed,3,,30,,,30,,30,,,,,,,
SignControl,3,,0,,,0,,1,,,,,,,
IdealFlow,3,1900,1900,,,1900,1900,1900,,1900,,,,,
SatFlow,3,0,2052,,,1966,0,1713,,0,,,,,
SatFlowPerm,3,0,2052,,,1966,0,1713,,0,,,,,
Allow RTOR,3,1,1,,,1,1,1,,1,,,,,
SatFlowRTOR,3,0,0,,,24,0,53,,0,,,,,
Volume,3,29,279,,,347,63,87,,48,,,,,
Peds,3,4,0,,,0,4,4,,4,,,,,
Bicycles,3,0,0,,,0,0,0,,0,,,,,
PHF,3,0.91,0.91,,,0.91,0.91,0.91,,0.91,,,,,
Growth,3,100,100,,,100,100,100,,100,,,,,
HeavyVehicles,3,3,4,,,6,14,7,,2,,,,,
BusStops,3,0,0,,,0,0,0,,0,,,,,
Midblock,3,,0,,,0,,0,,,,,,,
Distance,3,,181,,,733,,1484,,,,,,,
TravelTime,3,,4.1,,,16.7,,33.7,,,,,,,
Right Channeled,3,,0,,,,0,,,0,,,,,
Alignment,3,0,0,,,0,1,0,,1,,,,,
Enter Blocked,3,0,0,,,0,0,0,,0,,,,,
HeadwayFact,3,1.01,0.85,,,0.85,1.00,0.96,,1.01,,,,,
Turning Speed,3,15,60,,,60,9,15,,9,,,,,
FirstDetect,3,20,100,,,100,,20,,,,,,,
LastDetect,3,0,0,,,0,,0,,,,,,,
Exit Lanes,3,,0,,,0,,0,,,,,,,
CBD,3,,0,,,,,,,,,,,,
Lane Group Flow,3,0,339,,,450,0,149,,0,,,,,
Up Node,4,14,14,14,19,19,19,18,18,18,6,6,6,,
Dest Node,4,18,19,6,6,14,18,19,6,14,14,18,19,,
Lanes,4,0,1,0,0,1,0,0,1,0,0,1,0,,
Shared,4,0,3,,0,3,,0,3,,0,3,,,
Width,4,12,16,12,12,16,12,12,16,12,12,16,12,,
Storage,4,,,,,,,,,,,,,,
Taper,4,,,,,,,,,,,,,,
StLanes,4,,,,,,,,,,,,,,
Grade,4,,,,,,,,,,,,,,
Speed,4,,30,,,30,,,30,,,30,,,
Phase1,4,,2,,,6,,,4,,,8,,,
PermPhase1,4,2,,,6,,,4,,,8,,,,
LostTime,4,5,5,4,5,5,4,5,5,4,5,5,4,,
Lost Time Adjust,4,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,4,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,4,0,1992,0,0,1930,0,0,1929,0,0,1979,0,,
SatFlowPerm,4,0,1690,0,0,1859,0,0,1821,0,0,1904,0,,
Allow RTOR,4,1,1,0,1,1,0,1,1,0,1,1,0,,
SatFlowRTOR,4,0,0,0,0,0,0,0,0,0,0,0,0,,
Volume,4,38,81,14,25,109,115,34,107,89,12,94,18,,
Peds,4,3,0,0,0,0,3,0,0,0,0,0,0,,
Bicycles,4,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,4,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,,
Growth,4,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,4,5,6,0,0,6,3,0,7,6,8,7,0,,
BusStops,4,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,4,,0,,,0,,,0,,,0,,,
Distance,4,,871,,,410,,,940,,,778,,,
TravelTime,4,,19.8,,,9.3,,,21.4,,,17.7,,,
Right Channeled,4,,,0,,,0,,,0,,,0,,
Alignment,4,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,4,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,4,1.00,0.85,1.00,0.99,0.84,0.99,0.99,0.84,0.99,1.00,0.85,1.00,,
Turning Speed,4,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,4,20,100,,20,100,,20,100,,20,100,,,
LastDetect,4,0,0,,0,0,,0,0,,0,0,,,
DetectPhase1,4,2,2,,6,6,,4,4,,8,8,,,
DetectPhase2,4,0,0,,0,0,,0,0,,0,0,,,
DetectPhase3,4,0,0,,0,0,,0,0,,0,0,,,
DetectPhase4,4,0,0,,0,0,,0,0,,0,0,,,
SwitchPhase,4,0,0,,0,0,,0,0,,0,0,,,
numDetects,4,1,2,,1,2,,1,2,,1,2,,,
DetectPos1,4,0,0,,0,0,,0,0,,0,0,,,
DetectSize1,4,20,6,,20,6,,20,6,,20,6,,,
DetectType1,4,3,3,,3,3,,3,3,,3,3,,,
DetectExtend1,4,0,0,,0,0,,0,0,,0,0,,,
DetectQueue1,4,0,0,,0,0,,0,0,,0,0,,,
DetectDelay1,4,0,0,,0,0,,0,0,,0,0,,,
DetectPos2,4,,94,,,94,,,94,,,94,,,
DetectSize2,4,,6,,,6,,,6,,,6,,,
DetectType2,4,,3,,,3,,,3,,,3,,,
DetectExtend2,4,,0,,,0,,,0,,,0,,,
Exit Lanes,4,,0,,,0,,,0,,,0,,,
CBD,4,,0,,,,,,,,,,,,
Lane Group Flow,4,0,185,0,0,346,0,0,320,0,0,173,0,,
Up Node,5,2,2,,,9,9,11,,11,,,,,
Dest Node,5,11,9,,,2,11,9,,2,,,,,
Lanes,5,0,1,,,1,0,1,,0,,,,,
Shared,5,0,1,,,2,,2,,,,,,,
Width,5,12,13,,,13,12,12,,12,,,,,
Storage,5,,,,,,,,,,,,,,
Taper,5,,,,,,,,,,,,,,
StLanes,5,,,,,,,,,,,,,,
Grade,5,,,,,,,,,,,,,,
Speed,5,,30,,,30,,30,,,,,,,
SignControl,5,,0,,,0,,1,,,,,,,
IdealFlow,5,1900,1900,,,1900,1900,1900,,1900,,,,,
SatFlow,5,0,1862,,,1711,0,1900,,0,,,,,
SatFlowPerm,5,0,1862,,,1711,0,1900,,0,,,,,
Allow RTOR,5,1,1,,,1,1,1,,1,,,,,
SatFlowRTOR,5,0,0,,,0,0,0,,0,,,,,
Volume,5,0,27,,,15,0,0,,0,,,,,
Peds,5,0,0,,,0,0,0,,0,,,,,
Bicycles,5,0,0,,,0,0,0,,0,,,,,
PHF,5,0.90,0.90,,,0.90,0.90,0.90,,0.90,,,,,
Growth,5,100,100,,,100,100,100,,100,,,,,
HeavyVehicles,5,0,7,,,13,0,0,,0,,,,,
BusStops,5,0,0,,,0,0,0,,0,,,,,
Midblock,5,,0,,,0,,0,,,,,,,
Distance,5,,801,,,753,,855,,,,,,,
TravelTime,5,,18.2,,,17.1,,19.4,,,,,,,
Right Channeled,5,,0,,,,0,,,0,,,,,
Alignment,5,0,0,,,0,1,0,,1,,,,,
Enter Blocked,5,0,0,,,0,0,0,,0,,,,,
HeadwayFact,5,0.98,0.94,,,0.98,1.02,1.00,,1.00,,,,,
Turning Speed,5,15,60,,,60,9,15,,9,,,,,
FirstDetect,5,20,100,,,100,,20,,,,,,,
LastDetect,5,0,0,,,0,,0,,,,,,,
Exit Lanes,5,,0,,,0,,0,,,,,,,
CBD,5,,0,,,,,,,,,,,,
